ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
351,variable,,"Titulo de Producto",1,0,visible,"Descripción 2","Descripción 1",,,taxable,,1,4,,1,1,1,,,,1,,,,Uncategorized,,,https://goliquidator.com/wp-content/uploads/2019/09/packages-icon.png,,,,,,,,,0,"Precio / Numero","Llame al +1(786)522-6666",1,0
354,variable,001A,"Titulo de Producto",1,0,visible,"Descripción 2","Descripción 1",,,taxable,,1,4,,0,1,,,,,1,,,,Uncategorized,,,https://goliquidator.com/wp-content/uploads/2019/09/packages-icon.png,,,,,,,,,0,"Precio / Numero","Llame al +1(786)522-6666",1,0
441,simple,001,"Flecked Wool Sweater",1,0,visible,"Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum.","[vc_row][vc_column][vc_column_text]\n<h5>What are the payment options?</h5>\n[/vc_column_text][vc_empty_space height=""20px""][vc_column_text]Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.[/vc_column_text][/vc_column][/vc_row]",,,taxable,,1,,,0,0,15,10,15,20,1,,,125,"Ropa > Femenina, Ropa, Uncategorized","Bags, Coats, Scarves",,"https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-1.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-1-gallery-1.jpg",,,,,,,,,0,,,,
442,simple,002,"Fringed Leather Sneakers",1,0,visible,"Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum.","[vc_row][vc_column][vc_column_text]\n<h5>What are the payment options?</h5>\n[/vc_column_text][vc_empty_space height=""20px""][vc_column_text]Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.[/vc_column_text][/vc_column][/vc_row]",,,taxable,,1,,,0,0,15,10,15,20,1,,,150,"Ropa > Femenina, Ropa, Uncategorized","Bags, Coats, Scarves",,"https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-2.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-7-gallery-1.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-7-gallery-2.jpg",,,,,,,,,0,,,,
443,simple,003,"Casual Parka",1,0,visible,"Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum.","[vc_row][vc_column][vc_column_text]\n<h5>What are the payment options?</h5>\n[/vc_column_text][vc_empty_space height=""20px""][vc_column_text]Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.[/vc_column_text][/vc_column][/vc_row]",,,taxable,,1,,,0,0,15,10,15,20,1,,,235,"Ropa > Femenina, Ropa, Uncategorized","Bags, Coats, Scarves",,"https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-3.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-8-gallery-1.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-8-gallery-2.jpg",,,,,,,,,0,,,,
444,simple,004,"Elastic Panel Sneakers",1,0,visible,"Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum.","[vc_row][vc_column][vc_column_text]\n<h5>What are the payment options?</h5>\n[/vc_column_text][vc_empty_space height=""20px""][vc_column_text]Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.[/vc_column_text][/vc_column][/vc_row]",,,taxable,,1,,,0,0,15,10,15,20,1,,,99,"Ropa > Femenina, Ropa, Uncategorized","Bags, Coats, Scarves",,"https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-4.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-12-gallery-1.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-12-gallery-3.jpg",,,,,,,,,0,,,,
445,simple,005,"Zipped Backpack",1,0,visible,"Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum.","[vc_row][vc_column][vc_column_text]\n<h5>What are the payment options?</h5>\n[/vc_column_text][vc_empty_space height=""20px""][vc_column_text]Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.[/vc_column_text][/vc_column][/vc_row]",,,taxable,,1,,,0,0,15,10,15,20,1,,55,85,"Ropa > Femenina, Ropa, Uncategorized","Bags, Coats, Scarves",,"https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-5.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-11-gallery-5.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-11-gallery-4.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-11-gallery-3.jpg",,,,,,,,,0,,,,
446,simple,006,"Stripe Patterned Sweater",1,0,visible,"Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum.","[vc_row][vc_column][vc_column_text]\n<h5>What are the payment options?</h5>\n[/vc_column_text][vc_empty_space height=""20px""][vc_column_text]Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.[/vc_column_text][/vc_column][/vc_row]",,,taxable,,1,,,0,0,15,10,15,20,1,,,123,"Ropa > Femenina, Ropa, Uncategorized","Bags, Coats, Scarves",,"https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-6.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-6-gallery-1.jpg",,,,,,,,,0,,,,
447,simple,007,"Collar Wool Blend Sweater",1,0,visible,"Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum.","[vc_row][vc_column][vc_column_text]\n<h5>What are the payment options?</h5>\n[/vc_column_text][vc_empty_space height=""20px""][vc_column_text]Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.[/vc_column_text][/vc_column][/vc_row]",,,taxable,,1,,,0,0,15,10,15,20,1,,,150,"Ropa > Femenina, Ropa, Uncategorized","Bags, Coats, Scarves",,"https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-8.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-8-gallery-1.jpg",,,,,,,,,0,,,,
448,external,008,"Leather Boat Shoes",1,0,visible,"Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum.","[vc_row][vc_column][vc_column_text]\n<h5>What are the payment options?</h5>\n[/vc_column_text][vc_empty_space height=""20px""][vc_column_text]Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.[/vc_column_text][/vc_column][/vc_row]",,,taxable,,1,,,0,0,15,10,15,20,1,,,85,"Ropa > Femenina, Ropa, Uncategorized","Bags, Coats, Scarves",,"https://goliquidator.com/wp-content/uploads/2019/10/shop-masonry-image-7.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-1-gallery-1.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-1-gallery-2.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-1-gallery-3.jpg, https://goliquidator.com/wp-content/uploads/2019/10/shop-standard-1-gallery-4.jpg",,,,,,,http://www.amazon.com/,"Buy on Amazon",0,,,,
